# energy grid [eV]     JDOS [1/eV]
# Co_t2g  Co_eg
                   4.682804674                   0.003839027
                   4.707846411                   0.003695173
                   4.732888147                   0.003561800
                   4.757929883                   0.003456108
                   4.782971619                   0.003391303
                   4.808013356                   0.003374587
                   4.833055092                   0.003406063
                   4.858096828                   0.003478686
                   4.883138564                   0.003579188
                   4.908180301                   0.003689811
                   4.933222037                   0.003790597
                   4.958263773                   0.003861957
                   4.983305509                   0.003887220
                   5.008347245                   0.003854902
                   5.033388982                   0.003760446
                   5.058430718                   0.003607247
                   5.083472454                   0.003406840
                   5.108514190                   0.003178202
                   5.133555927                   0.002946212
                   5.158597663                   0.002739367
                   5.183639399                   0.002586934
                   5.208681135                   0.002515742
                   5.233722871                   0.002546874
                   5.258764608                   0.002692584
                   5.283806344                   0.002953783
                   5.308848080                   0.003318522
                   5.333889816                   0.003761841
                   5.358931553                   0.004247289
                   5.383973289                   0.004730174
                   5.409015025                   0.005162327
                   5.434056761                   0.005497802
                   5.459098497                   0.005698678
                   5.484140234                   0.005739977
                   5.509181970                   0.005612818
                   5.534223706                   0.005325208
                   5.559265442                   0.004900350
                   5.584307179                   0.004372831
                   5.609348915                   0.003783459
                   5.634390651                   0.003173755
                   5.659432387                   0.002581047
                   5.684474124                   0.002034905
                   5.709515860                   0.001555287
                   5.734557596                   0.001152364
                   5.759599332                   0.000827711
                   5.784641068                   0.000576335
                   5.809682805                   0.000389024
                   5.834724541                   0.000254555
                   5.859766277                   0.000161469
                   5.884808013                   0.000099288
                   5.909849750                   0.000059184
                   5.934891486                   0.000034199
                   5.959933222                   0.000019157
                   5.984974958                   0.000010402
                   6.010016694                   0.000005475
                   6.035058431                   0.000002794
                   6.060100167                   0.000001382
                   6.085141903                   0.000000663
                   6.110183639                   0.000000308
                   6.135225376                   0.000000139
                   6.160267112                   0.000000061
                   6.185308848                   0.000000026
                   6.210350584                   0.000000012
                   6.235392321                   0.000000009
                   6.260434057                   0.000000012
                   6.285475793                   0.000000022
                   6.310517529                   0.000000046
                   6.335559265                   0.000000094
                   6.360601002                   0.000000186
                   6.385642738                   0.000000358
                   6.410684474                   0.000000665
                   6.435726210                   0.000001198
                   6.460767947                   0.000002093
                   6.485809683                   0.000003543
                   6.510851419                   0.000005815
                   6.535893155                   0.000009250
                   6.560934891                   0.000014267
                   6.585976628                   0.000021338
                   6.611018364                   0.000030954
                   6.636060100                   0.000043571
                   6.661101836                   0.000059542
                   6.686143573                   0.000079058
                   6.711185309                   0.000102107
                   6.736227045                   0.000128480
                   6.761268781                   0.000157853
                   6.786310518                   0.000189934
                   6.811352254                   0.000224687
                   6.836393990                   0.000262583
                   6.861435726                   0.000304826
                   6.886477462                   0.000353478
                   6.911519199                   0.000411400
                   6.936560935                   0.000481966
                   6.961602671                   0.000568522
                   6.986644407                   0.000673645
                   7.011686144                   0.000798300
                   7.036727880                   0.000941070
                   7.061769616                   0.001097630
                   7.086811352                   0.001260639
                   7.111853088                   0.001420173
                   7.136894825                   0.001564688
                   7.161936561                   0.001682434
                   7.186978297                   0.001763103
                   7.212020033                   0.001799443
                   7.237061770                   0.001788557
                   7.262103506                   0.001732653
                   7.287145242                   0.001639129
                   7.312186978                   0.001519974
                   7.337228715                   0.001390609
                   7.362270451                   0.001268335
                   7.387312187                   0.001170613
                   7.412353923                   0.001113343
                   7.437395659                   0.001109291
                   7.462437396                   0.001166743
                   7.487479132                   0.001288467
                   7.512520868                   0.001471052
                   7.537562604                   0.001704745
                   7.562604341                   0.001973873
                   7.587646077                   0.002257982
                   7.612687813                   0.002533657
                   7.637729549                   0.002776936
                   7.662771285                   0.002966006
                   7.687813022                   0.003083802
                   7.712854758                   0.003120052
                   7.737896494                   0.003072376
                   7.762938230                   0.002946251
                   7.787979967                   0.002753821
                   7.813021703                   0.002511838
                   7.838063439                   0.002239141
                   7.863105175                   0.001954164
                   7.888146912                   0.001672910
                   7.913188648                   0.001407665
                   7.938230384                   0.001166534
                   7.963272120                   0.000953697
                   7.988313856                   0.000770160
                   8.013355593                   0.000614714
                   8.038397329                   0.000484879
                   8.063439065                   0.000377658
                   8.088480801                   0.000290028
                   8.113522538                   0.000219207
                   8.138564274                   0.000162721
                   8.163606010                   0.000118387
                   8.188647746                   0.000084252
                   8.213689482                   0.000058548
                   8.238731219                   0.000039667
